country,year,measure,value
Brazil,1997,lifeExp,69.388
Brazil,1997,pop,168546719
Brazil,1997,gdpPercap,7957.980824
Brazil,2002,lifeExp,71.006
Brazil,2002,pop,179914212
Brazil,2002,gdpPercap,8131.212843
Brazil,2007,lifeExp,72.39
Brazil,2007,pop,190010647
Brazil,2007,gdpPercap,9065.800825
Canada,1997,lifeExp,78.61
Canada,1997,pop,30305843
Canada,1997,gdpPercap,28954.92589
Canada,2002,lifeExp,79.77
Canada,2002,pop,31902268
Canada,2002,gdpPercap,33328.96507
Canada,2007,lifeExp,80.653
Canada,2007,pop,33390141
Canada,2007,gdpPercap,36319.23501
China,1997,lifeExp,70.426
China,1997,pop,1230075000
China,1997,gdpPercap,2289.234136
China,2002,lifeExp,72.028
China,2002,pop,1280400000
China,2002,gdpPercap,3119.280896
China,2007,lifeExp,72.961
China,2007,pop,1318683096
China,2007,gdpPercap,4959.114854
Japan,1997,lifeExp,80.69
Japan,1997,pop,125956499
Japan,1997,gdpPercap,28816.58499
Japan,2002,lifeExp,82
Japan,2002,pop,127065841
Japan,2002,gdpPercap,28604.5919
Japan,2007,lifeExp,82.603
Japan,2007,pop,127467972
Japan,2007,gdpPercap,31656.06806
Nigeria,1997,lifeExp,47.464
Nigeria,1997,pop,106207839
Nigeria,1997,gdpPercap,1624.941275
Nigeria,2002,lifeExp,46.608
Nigeria,2002,pop,119901274
Nigeria,2002,gdpPercap,1615.286395
Nigeria,2007,lifeExp,46.859
Nigeria,2007,pop,135031164
Nigeria,2007,gdpPercap,2013.977305
